real,imag
7.699159e-02,-4.529266e-01
7.239703e-02,-4.258507e-01
6.795135e-02,-3.996479e-01
6.365448e-02,-3.743182e-01
5.950635e-02,-3.498614e-01
5.550688e-02,-3.262775e-01
5.165599e-02,-3.035664e-01
4.795361e-02,-2.817280e-01
4.439967e-02,-2.607621e-01
4.099410e-02,-2.406686e-01
3.773681e-02,-2.214473e-01
3.462775e-02,-2.030981e-01
3.166682e-02,-1.856207e-01
2.947615e-02,-1.671676e-01
2.885394e-02,-1.690148e-01
2.618905e-02,-1.532804e-01
2.367226e-02,-1.384175e-01
2.352207e-02,-1.334015e-01
2.130259e-02,-1.244231e-01
2.105480e-02,-2.448109e-03
1.908097e-02,-1.113010e-01
1.700689e-02,-9.904887e-02
1.508028e-02,-8.766718e-02
1.468416e-02,-8.327800e-02
1.330122e-02,-7.715725e-02
1.167124e-02,-6.752674e-02
1.110776e-02,-6.300297e-02
1.018346e-02,-5.874414e-02
8.852068e-03,-5.089210e-02
8.814221e-03,-4.998793e-02
7.688250e-03,-4.402464e-02
7.572807e-03,-4.294754e-02
7.006769e-03,-3.980880e-02
6.559849e-03,-3.739079e-02
5.883294e-03,-3.336582e-02
5.766339e-03,-3.278531e-02
5.165337e-03,-2.930792e-02
4.637451e-03,-2.627300e-02
4.207747e-03,-2.386332e-02
4.103575e-03,-2.320991e-02
3.766779e-03,-2.136247e-02
3.615316e-03,-2.042133e-02
3.533796e-03,-2.004015e-02
3.166543e-03,-1.786545e-02
3.159519e-03,-1.791852e-02
2.757172e-03,-1.554457e-02
2.459943e-03,-1.395103e-02
2.389649e-03,-1.346972e-02
2.259535e-03,-1.281446e-02
2.159890e-03,-1.224405e-02
2.054423e-03,-1.158467e-02
1.969724e-03,-1.117086e-02
1.782736e-03,-1.005937e-02
1.752028e-03,-9.936092e-03
1.612854e-03,-9.146948e-03
1.596008e-03,-9.027333e-03
1.507682e-03,-8.550487e-03
1.470722e-03,-8.312097e-03
1.344963e-03,-7.627665e-03
1.308160e-03,-7.393894e-03
1.168233e-03,-6.606549e-03
1.138729e-03,-6.458050e-03
1.078087e-03,-6.114135e-03
1.062406e-03,-6.023620e-03
1.049140e-03,-5.949775e-03
1.037686e-03,-5.870885e-03
9.765701e-04,-5.538404e-03
9.227636e-04,-5.221214e-03
8.222245e-04,-4.654723e-03
8.094152e-04,-4.590422e-03
7.616797e-04,-4.316549e-03
7.101880e-04,-4.022094e-03
6.997838e-04,-3.968671e-03
6.411261e-04,-3.632136e-03
6.315781e-04,-3.581318e-03
6.301435e-04,-3.573721e-03
5.830825e-04,-3.303700e-03
5.315919e-04,-3.012078e-03
5.045387e-04,-2.861381e-03
5.001637e-04,-2.836569e-03
4.830262e-04,-2.737351e-03
4.527832e-04,-2.567176e-03
4.298451e-04,-2.436428e-03
4.204827e-04,-2.384631e-03
4.131097e-04,-2.342862e-03
3.930108e-04,-2.227661e-03
3.754127e-04,-2.129071e-03
3.618096e-04,-2.051084e-03
3.444822e-04,-1.953656e-03
3.362524e-04,-1.906280e-03
3.113534e-04,-1.765219e-03
3.014281e-04,-1.709438e-03
2.969842e-04,-1.684132e-03
2.922111e-04,-1.657211e-03
2.916526e-04,-1.654044e-03
2.823681e-04,-1.600934e-03
2.614891e-04,-1.482594e-03
2.501167e-04,-1.418482e-03
2.432839e-04,-1.379453e-03
2.339351e-04,-1.326712e-03
2.319805e-04,-1.315627e-03
2.288924e-04,-1.297899e-03
2.255610e-04,-1.279218e-03
2.158698e-04,-1.224115e-03
2.097994e-04,-1.189726e-03
1.976733e-04,-1.120887e-03
1.915249e-04,-1.086192e-03
1.847196e-04,-1.047457e-03
1.754593e-04,-9.950790e-04
1.736551e-04,-9.847431e-04
1.650529e-04,-9.359874e-04
1.596966e-04,-9.056847e-04
1.592090e-04,-9.028845e-04
1.540750e-04,-8.737329e-04
1.452022e-04,-8.234094e-04
1.403981e-04,-7.962372e-04
1.367225e-04,-7.753336e-04
1.351982e-04,-7.667474e-04
1.297437e-04,-7.357716e-04
1.251184e-04,-7.095611e-04
1.219890e-04,-6.918089e-04
1.169474e-04,-6.632071e-04
1.159367e-04,-6.575095e-04
1.149098e-04,-6.516858e-04
1.107846e-04,-6.282570e-04
1.049912e-04,-5.954083e-04
1.007328e-04,-5.712709e-04
9.875241e-05,-5.600418e-04
9.579437e-05,-5.432768e-04
9.544333e-05,-5.412699e-04
9.147178e-05,-5.187450e-04
8.712437e-05,-4.940903e-04
8.307783e-05,-4.711457e-04
8.134843e-05,-4.613468e-04
8.107928e-05,-4.598234e-04
7.920161e-05,-4.491652e-04
7.637163e-05,-4.331161e-04
7.337305e-05,-4.161101e-04
7.021680e-05,-3.982106e-04
6.954931e-05,-3.944337e-04
6.787658e-05,-3.849456e-04
6.692181e-05,-3.795263e-04
6.452659e-05,-3.659432e-04
6.439468e-05,-3.652004e-04
6.240049e-05,-3.538857e-04
6.009792e-05,-3.408271e-04
5.779719e-05,-3.277800e-04
5.715394e-05,-3.241351e-04
5.535980e-05,-3.139570e-04
5.351037e-05,-3.034695e-04
5.190065e-05,-2.943402e-04
5.009738e-05,-2.841134e-04
4.901240e-05,-2.779629e-04
4.819012e-05,-2.732971e-04
4.647200e-05,-2.635534e-04
4.506710e-05,-2.555865e-04
4.380959e-05,-2.484546e-04
4.235114e-05,-2.401833e-04
4.092609e-05,-2.321017e-04
3.963777e-05,-2.247956e-04
3.868862e-05,-2.194131e-04
3.764200e-05,-2.134771e-04
3.648691e-05,-2.069265e-04
3.551740e-05,-2.014283e-04
3.460230e-05,-1.962385e-04
3.359005e-05,-1.904977e-04
3.249392e-05,-1.842812e-04
3.139656e-05,-1.780579e-04
3.034791e-05,-1.721107e-04
2.933834e-05,-1.663852e-04
2.833736e-05,-1.607085e-04
2.734603e-05,-1.550864e-04
2.637881e-05,-1.496011e-04
2.543583e-05,-1.442532e-04
2.451470e-05,-1.390293e-04
2.361178e-05,-1.339086e-04
2.272336e-05,-1.288701e-04
2.185036e-05,-1.239191e-04
2.099440e-05,-1.190648e-04
2.015544e-05,-1.143068e-04
1.933307e-05,-1.096430e-04
1.852747e-05,-1.050742e-04
1.773893e-05,-1.006022e-04
1.696755e-05,-9.622752e-05
1.621340e-05,-9.195052e-05
1.547642e-05,-8.777095e-05
1.475659e-05,-8.368861e-05
1.405391e-05,-7.970350e-05
1.336837e-05,-7.581563e-05
1.269997e-05,-7.202498e-05
1.204871e-05,-6.833153e-05
1.141459e-05,-6.473526e-05
1.079761e-05,-6.123618e-05
1.019776e-05,-5.783430e-05
9.615057e-06,-5.452962e-05
9.049488e-06,-5.132213e-05
8.501058e-06,-4.821183e-05
7.969767e-06,-4.519874e-05
7.455614e-06,-4.228284e-05
6.958599e-06,-3.946414e-05
6.478723e-06,-3.674263e-05
6.015986e-06,-3.411832e-05
5.570387e-06,-3.159121e-05
5.141927e-06,-2.916129e-05
4.730605e-06,-2.682857e-05
4.336421e-06,-2.459305e-05
3.959376e-06,-2.245472e-05
3.599469e-06,-2.041359e-05
3.256701e-06,-1.846966e-05
2.931072e-06,-1.662293e-05
2.622580e-06,-1.487339e-05
2.331227e-06,-1.322104e-05
2.057013e-06,-1.166590e-05
1.799937e-06,-1.020795e-05
1.559999e-06,-8.847194e-06
1.337200e-06,-7.583638e-06
1.131539e-06,-6.417278e-06
9.430170e-07,-5.348115e-06
7.716331e-07,-4.376148e-06
6.173874e-07,-3.501378e-06
4.802802e-07,-2.723804e-06
3.603113e-07,-2.043427e-06
2.574807e-07,-1.460245e-06
1.717882e-07,-9.742595e-07
1.032337e-07,-5.854676e-07
5.181620e-08,-2.938643e-07
1.753042e-08,-9.941993e-08
