point real,point imag,potential real,potential imag
4.722617e+00,2.726604e+00,1.681380e-02,-2.912236e-02
4.753261e+00,2.744297e+00,1.659770e-02,-2.874806e-02
4.789429e+00,2.765178e+00,1.634797e-02,-2.831551e-02
4.829430e+00,2.788273e+00,1.607828e-02,-2.784839e-02
4.871393e+00,2.812500e+00,1.580247e-02,-2.737068e-02
4.913356e+00,2.836727e+00,1.553370e-02,-2.690515e-02
4.953357e+00,2.859822e+00,1.528383e-02,-2.647236e-02
4.989525e+00,2.880703e+00,1.506305e-02,-2.608997e-02
5.020169e+00,2.898396e+00,1.487971e-02,-2.577242e-02
5.043856e+00,2.912072e+00,1.474028e-02,-2.553092e-02
5.059477e+00,2.921090e+00,1.464941e-02,-2.537352e-02
5.066249e+00,2.925000e+00,1.461027e-02,-2.530573e-02
5.073021e+00,2.928910e+00,1.457129e-02,-2.523822e-02
5.088641e+00,2.937928e+00,1.448197e-02,-2.508351e-02
5.112328e+00,2.951604e+00,1.434808e-02,-2.485161e-02
5.142972e+00,2.969297e+00,1.417761e-02,-2.455633e-02
5.179141e+00,2.990178e+00,1.398028e-02,-2.421456e-02
5.219141e+00,3.013273e+00,1.376680e-02,-2.384480e-02
5.261104e+00,3.037500e+00,1.354807e-02,-2.346595e-02
5.303067e+00,3.061727e+00,1.333451e-02,-2.309605e-02
5.343068e+00,3.084822e+00,1.313560e-02,-2.275152e-02
5.379236e+00,3.105703e+00,1.295955e-02,-2.244660e-02
5.409881e+00,3.123396e+00,1.281315e-02,-2.219303e-02
5.433568e+00,3.137072e+00,1.270168e-02,-2.199995e-02
5.449188e+00,3.146090e+00,1.262896e-02,-2.187401e-02
5.455960e+00,3.150000e+00,1.259763e-02,-2.181974e-02
5.462732e+00,3.153910e+00,1.256642e-02,-2.176567e-02
5.478352e+00,3.162928e+00,1.249486e-02,-2.164173e-02
5.502040e+00,3.176604e+00,1.238751e-02,-2.145579e-02
5.532684e+00,3.194297e+00,1.225066e-02,-2.121877e-02
5.568852e+00,3.215178e+00,1.209205e-02,-2.094404e-02
5.608853e+00,3.238273e+00,1.192019e-02,-2.064637e-02
5.650816e+00,3.262500e+00,1.174381e-02,-2.034087e-02
5.692779e+00,3.286727e+00,1.157131e-02,-2.004210e-02
5.732779e+00,3.309822e+00,1.141040e-02,-1.976339e-02
5.768948e+00,3.330703e+00,1.126777e-02,-1.951635e-02
5.799592e+00,3.348396e+00,1.114901e-02,-1.931066e-02
5.823279e+00,3.362072e+00,1.105850e-02,-1.915388e-02
5.838899e+00,3.371090e+00,1.099941e-02,-1.905153e-02
5.845671e+00,3.375000e+00,1.097394e-02,-1.900742e-02
5.852444e+00,3.378910e+00,1.094856e-02,-1.896345e-02
5.868064e+00,3.387928e+00,1.089034e-02,-1.886263e-02
5.891751e+00,3.401604e+00,1.080295e-02,-1.871126e-02
5.922395e+00,3.419297e+00,1.069145e-02,-1.851813e-02
5.958563e+00,3.440178e+00,1.056205e-02,-1.829400e-02
5.998564e+00,3.463273e+00,1.042165e-02,-1.805083e-02
6.040527e+00,3.487500e+00,1.027736e-02,-1.780091e-02
6.082490e+00,3.511727e+00,1.013604e-02,-1.755614e-02
6.122491e+00,3.534822e+00,1.000403e-02,-1.732749e-02
6.158659e+00,3.555703e+00,9.886873e-03,-1.712457e-02
6.189303e+00,3.573396e+00,9.789212e-03,-1.695541e-02
6.212990e+00,3.587072e+00,9.714711e-03,-1.682637e-02
6.228611e+00,3.596090e+00,9.666046e-03,-1.674208e-02
6.235383e+00,3.600000e+00,9.645062e-03,-1.670574e-02
6.242155e+00,3.603910e+00,9.624145e-03,-1.666951e-02
6.257775e+00,3.612928e+00,9.576159e-03,-1.658639e-02
6.281462e+00,3.626604e+00,9.504072e-03,-1.646154e-02
6.312107e+00,3.644297e+00,9.412015e-03,-1.630209e-02
6.348275e+00,3.665178e+00,9.305074e-03,-1.611686e-02
6.388276e+00,3.688273e+00,9.188909e-03,-1.591566e-02
6.430239e+00,3.712500e+00,9.069369e-03,-1.570861e-02
6.472202e+00,3.736727e+00,8.952147e-03,-1.550557e-02
6.512202e+00,3.759822e+00,8.842509e-03,-1.531567e-02
6.548371e+00,3.780703e+00,8.745100e-03,-1.514696e-02
6.579015e+00,3.798396e+00,8.663822e-03,-1.500618e-02
6.602702e+00,3.812072e+00,8.601771e-03,-1.489870e-02
6.618322e+00,3.821090e+00,8.561216e-03,-1.482846e-02
6.625094e+00,3.825000e+00,8.543722e-03,-1.479816e-02
6.631866e+00,3.828910e+00,8.526283e-03,-1.476796e-02
6.647487e+00,3.837928e+00,8.486259e-03,-1.469863e-02
6.671174e+00,3.851604e+00,8.426103e-03,-1.459444e-02
6.701818e+00,3.869297e+00,8.349222e-03,-1.446128e-02
6.737986e+00,3.890178e+00,8.259828e-03,-1.430644e-02
6.777987e+00,3.913273e+00,8.162624e-03,-1.413808e-02
6.819950e+00,3.937500e+00,8.062484e-03,-1.396463e-02
6.861913e+00,3.961727e+00,7.964176e-03,-1.379436e-02
6.901914e+00,3.984822e+00,7.872129e-03,-1.363493e-02
6.938082e+00,4.005703e+00,7.790268e-03,-1.349314e-02
6.968726e+00,4.023396e+00,7.721905e-03,-1.337473e-02
6.992413e+00,4.037072e+00,7.669677e-03,-1.328427e-02
7.008034e+00,4.046090e+00,7.635525e-03,-1.322512e-02
7.014806e+00,4.050000e+00,7.620790e-03,-1.319959e-02
7.021578e+00,4.053910e+00,7.606097e-03,-1.317415e-02
7.037198e+00,4.062928e+00,7.572368e-03,-1.311573e-02
7.060885e+00,4.076604e+00,7.521647e-03,-1.302787e-02
7.091530e+00,4.094297e+00,7.456782e-03,-1.291552e-02
7.127698e+00,4.115178e+00,7.381298e-03,-1.278478e-02
7.167699e+00,4.138273e+00,7.299142e-03,-1.264248e-02
7.209661e+00,4.162500e+00,7.214422e-03,-1.249574e-02
7.251624e+00,4.186727e+00,7.131168e-03,-1.235155e-02
7.291625e+00,4.209822e+00,7.053141e-03,-1.221640e-02
7.327793e+00,4.230703e+00,6.983688e-03,-1.209610e-02
7.358438e+00,4.248396e+00,6.925642e-03,-1.199556e-02
7.382125e+00,4.262072e+00,6.881269e-03,-1.191871e-02
7.397745e+00,4.271090e+00,6.852239e-03,-1.186843e-02
7.404517e+00,4.275000e+00,6.839711e-03,-1.184673e-02
7.411289e+00,4.278910e+00,6.827218e-03,-1.182509e-02
7.426910e+00,4.287928e+00,6.798530e-03,-1.177540e-02
7.450597e+00,4.301604e+00,6.755370e-03,-1.170064e-02
